Title,City,Descriptions

DESARROLLADOR WEB,"Ciudad Autónoma de Buenos Aires, Buenos Aires","Buscamos desarrolladores web con experiencia previa para formar parte de nuestro equipo en proyectos para clientes locales y en el exterior. (100% remoto).RequisitosEdad, a partir de 23 añosExperiencia laboral previa (excluyente)​Conocimientos comprobables de programación orientada a objetos, .NET (excluyente), C# (excluyente), VStudio (excluyente), Javascript, CSS, HTMLInglés, nivel intermedio (no excluyente)Dedicación full-time o part-time (no menos de 6 horas)Disponibilidad horaria entre las 9 y las 18 hsOfrecemosParticipación en un equipo de desarrolladores experimentadosDesarrollo de proyectos basados en tecnologías ASP.NETCore MVC, REACTForma de trabajo basada en Metodologías ÁgilesRelación de dependencia o Freelance. Honorarios a convenir, dependiendo de la dedicación y tipo de relación laboralTrabajo remoto, clases de inglés a cargo de la empresa​Por favor, indicar tipo de relación, dedicación y remuneración pretendidas. Se valorará indicar referencias de trabajos previos. Acerca de TERCER PLANETA S.A.        Somos una empresa dedicada al desarrollo de software a medida y consultoría a equipos de sistemas.Tenemos más de 17 años de presencia en el mercado desarrollando aplicaciones y acompañando a empresas en el país y en el exterior en la recomendación de soluciones que consideramos más adecuadas a la realidad de cada cliente."

DESARROLLADOR .NET,"Santa Fe, Santa Fe","en i2t estamos iniciando para un cliente un proyecto de reingenieria de VB a .NET.Necesitamos  integrar perfiles semisenior y juniors para formar parte de nuestro equipo de forma inmediatala remuneracion para niveles semisenior es de 110.000 brutos y estimulos por productividadel horario es de 8-17h de lun a vieINDISPENSABLE RESIDIR EN SANTA FE CIUDAD,ya que el cliente requiere instancias de revisión semanal presencialesla propuesta es integrarse a un modelo de prestación de servicios de staffing, bajo metodoogías ágiles con un mix presencial-HW conforme vayas aumentando la autonomía en el proyectosi te interesa, postulate y nos  contactaremos para conversar Te esperamos !"

PROFESIONALES DE SOFTWARE,"Santa Fe, Santa Fe","En i2T, estamos buscando cubrir vacante de analistas programadores en distintos proyectos de la consultoraTrabajamos para empresas de distintos rubros de negocios y bajo multiples plataformas tenemos un plan de formacion y actualizacion profesional previsto para cada ingresante segun el proyecto en el que se desenvuelvala propuesta es invitarte a formar parte del equipo i2T que creció mas de un 50% en el último año y tiene previsto continuar asi durante todo el 2021si te interesa, escribinos haciendo referencia a esta invitacion, contanos en que te gustaria desarrollarte en tu plan profesional y acordamos una entrevista para conversar de alcances y proyeccionestrabajo bajo metodologías ágiles dedicación full time y contratación bajo relac de dependencia.Jornadas de lun-vie beneficios y estímulos por desempeñoen todos los casos las vacantes son para  trabajar en santa fe, en horario corrido de 9 hs diarias en un mix presencial-home working una vez comprobada la autonomía en el proyectote esperamos !INDISPENSABLE RADICADOS EN SANTA FE CIUDAD"

Backend NodeJS,"Ciudad Autónoma de Buenos Aires, Buenos Aires","Buscamos la inclusión en todas nuestras prácticas, teniendo en cuenta la singularidad de cada persona que forma parte de la compañía. Por este motivo, desde los procesos de selección, buscamos siempre perfiles diversos, brindando igualdad oportunidades para quienes se postulan y promoviendo la inserción laboral de personas con discapacidad”.Estamos buscando ampliar el equipo de Big Data Analytics para proyectos relacionados con procesamientos del lenguaje natural e interfaces conversacionales.Trabajamos bajo un esquema ágil en un equipo interdisciplinario por lo que buscamos: - Buena comunicación- Capacidad de trabajo en equipo- Predisposición para investigar y aprender- Capacidad de análisis- Predisposición para enseñar El stack tecnológico actualmente está basado en las siguientes tecnologías:- NodeJS + Typescript- BotFramework- React- Python- RASA- Docker Si te interesan los desafíos, el desarrollo punta a punta, aprender y mejorar, está es tu oportunidad de hacerlo dentro de un equipo que está construyendo soluciones desde cero. Te proponemos:Seguir desarrollándote dentro de la empresa, proponiéndote nuevos desafíos, oportunidades, aprendizaje y crecimiento.Un muy buen clima de trabajo, con todo lo necesario para que vivas una gran experiencia!Excelentes condiciones de trabajo, 14 sueldos anuales y Bonus por desempeño.Home office una vez por semana.Horario reducido los viernes de verano e invierno.Descuentos en planes del 50% al 70% en Gympass.Acceso a curso de inglés online. (Dexway Academy).Obra Social Prepaga grupo familiar con Planes corporativos y descuento del 70% en farmaciasDescuentos en diplomaturas y posgrados (sujeto a desempeño).Postulate!"

Desarrollador/a de Software Full Stack para la WebApp Mi Movistar,"Ciudad Autónoma de Buenos Aires, Buenos Aires","“Buscamos la inclusión en todas nuestras prácticas, teniendo en cuenta la singularidad de cada persona que forma parte de la compañía. Por este motivo, desde los procesos de selección, buscamos siempre perfiles diversos, brindando igualdad oportunidades para quienes se postulan y promoviendo la inserción laboral de personas con discapacidad”. Acerca del puesto: ·         El área de Gest Aplicac de Canales Digitales se enfoca día a día en brindar una experiencia única ¿Te sumás?·         Si querés formar parte de un equipo nuevo, que se encarga de desarrollar la WebApp Mi Movistar , esta es tu oportunidad.·          El puesto tiene como principal objetivo cubrir de manera innovadora las solicitudes del negocio del canal digital, asegurando altos índices de calidad y documentación. Tenemos un desafío para vos si...·         Sos alguien que ama resolver problemas difíciles·         Sos alguien que se implica en que los clientes obtengan el mejor servicio posible.·         Te encanta analizar/programar y estás deseoso de seguir aprendiendo.·         Sos una persona proactiva Serás responsable de: ·         Confección del diseño técnico de proyectos de desarrollos en aplicaciones web, apps y/o servicios rest con el objetivo de garantizar coherencia entre el modelo de datos, los procesos y los requerimientos funcionales.                                                         ·         Diseño de productos y componentes de alta calidad para garantizar su fácil mantenimiento, solidez y escalabilidad.·         Desarrollo de componentes principalmente con React, React Native, NodeJs  y Javascript. Además de éstos, trabajamos con otros lenguajes en función de las características específicas del desarrollo·         Escribir y mantener test suites para los componentes desarrollados.·         Definir y recopilar datos relevantes para rastrear la salud y el rendimiento de los componentes.·         Integración en un equipo en formación utilizando enfoques modernos de ingeniería de software y metodologías ágiles.  Por este motivo te ofrecemos estos beneficios: ·         Cobertura Médica prepaga y seguro de vida para cuidar de vos y tu grupo familiar, con importantes descuentos en medicamentos.·         Horario Flexible, jornada abierta (home office) y viernes cortos en vacaciones de verano e invierno, siempre que tu puesto lo permita.·         Cuidamos de tu familia, si sos papá/mamá o estás próximo hacerlo, tenemos licencias adicionales para que disfrutes más tiempo de tu bebé, entregamos obsequios por nacimiento, plus de guardería, kits escolares y ¡mucho más!·         Importantes descuentos en productos y servicios de la compañía y en gimnasios y prácticas de actividad física, para facilitar tu bienestar.·         Posibilidades de formación y desarrollo constante.·         Buen clima laboral con excelentes condiciones de trabajo. ¿Qué requisitos te pedimos?·         Formación en Ingenieria o Licenciatura en Sistemas. (Excluyente) ·         Amplio conocimiento de desarrollos Cloud Native.·         Empeño por cumplir con las mejores prácticas en desarrollo OO y necesidad de generar código bien estructurado.·         Conocimiento de bases de datos  (MySQL / Prometheus) y otros enfoques de administración de datos.·         Fuertes habilidades analíticas y de resolución de problemas.·         Conocimientos de web y apps (excluyente)·         Inglés fluido·         Requisitos tecnicos adicionalmente:·         Desarrollo de componentes principalmente con:·             a. Front End: React Native, React, HTML5/CSS3, ES6, Redux (excluyente)·             b. Back End: Node Js, NextJs, Frameworks Express (excluyente)·             c. Container: Docker y Kubernet (excluyente)·             d. Cache de datos: Redis·         Es valorable la experiencia en la PaaS: Openshift·         Herramientas: Git, Graphite, Grafana y Kibana·         Conocimientos de sistemas operativos Linux (RHEL) Contar con experiencia:·         Contar con experiencia en posiciones similares, al menos 2 años. (Excluyente). Ubicación: Abierta a todo el pais.Te esperamos!!! Hacé click en Enviar candidatura Ahora y postúlate!!"
